Grazing,Elevation,BareSoil,Diversity
0.33,108,1.2,24
0.13,308,1.2,38
0.16,333,1.3,28
0.2,698,1.7,54
0.15,733,1.95,26
0.29,683,2,52
0.16,243,2.1,37
0.31,153,2.5,40
0.23,533,2.55,49
0.3,233,2.6,59
0.4,713,2.9,45
0.25,233,2.9,52
0.31,193,3,28
0.3,783,3,30
0.36,683,3,51
0.75,153,5.25,15
0.26,383,3.3,50
0.35,248,3.3,73
0.22,423,3.4,43
0.3,1258,3.5,40
0.23,683,3.6,32
0.35,623,3.6,51
0.23,113,3.7,32
0.4,633,3.7,50
0.37,583,3.7,54
0.21,123,3.75,46
0.25,433,3.8,28
0.43,763,3.8,43
0.23,443,3.85,25
0.22,203,3.85,53
0.3,163,3.9,21
0.34,830,3.9,36
0.38,273,3.9,38
0.37,703,3.9,56
0.34,1003,4,22
0.25,423,4,39
0.26,248,4,59
0.68,93,4.05,19
0.21,508,4.1,49
0.49,123,4.2,37
0.46,483,4.2,53
0.49,128,4.25,34
0.65,483,4.3,26
0.5,913,4.3,39
0.43,333,4.3,39
0.23,1003,4.3,56
0.31,233,4.3,61
0.29,143,4.4,21
0.38,583,4.4,47
0.43,153,4.45,24
0.45,733,4.5,43
0.46,608,4.6,32
0.15,1013,4.6,62
0.48,433,4.7,24
0.34,383,4.8,22
0.38,983,4.8,27
0.24,773,4.8,54
0.58,458,4.85,33
0.41,508,4.85,33
0.25,508,4.85,35
0.29,513,4.85,51
0.35,513,4.85,55
0.38,308,4.9,57
0.39,673,5.1,25
0.25,508,5.3,46
0.43,503,5.4,10
0.3,368,5.4,46
0.21,508,5.6,56
0.25,483,5.7,24
0.38,523,5.7,39
0.5,433,5.7,40
0.33,678,6,52
0.25,708,6.05,40
0.45,783,6.1,49
0.67,193,6.15,12
0.45,223,6.2,19
0.36,283,6.2,30
0.63,133,6.4,19
0.26,693,6.7,56
0.5,268,6.85,3
0.34,398,7.2,18
0.59,203,7.25,13
0.45,218,7.25,24
0.4,243,7.3,26
0.35,633,7.5,13
0.45,218,7.55,34
0.62,213,7.7,17
0.55,243,8.05,16
0.5,243,8.2,13
0.36,293,9.2,40
